122150_1..S03R,1,1221,742,12,1,1597,660,1243,1
120950_2..S01R,2,1221,730,9,1,1850,390,1246,1
122000_3..S01R,3,1221,740,8,1,604,390,1250,1
122150_1..S03R,1,1224,742,12,1,1535,660,1242,3
120950_2..S01R,2,1224,730,9,1,1684,390,1246,3
122000_3..S01R,3,1224,740,8,1,404,390,1238,3
122150_1..S03R,1,1236,742,11,1,758,660,1261,1
120950_2..S01R,2,1236,730,9,1,1058,390,1262,1
123200_3..S01R,3,1236,752,9,1,382,390,1262,1
121350_1..S03R,1,1240,734,12,1,0,660,1261,1
120950_2..S01R,2,1240,730,10,1,916,390,1262,1
123200_3..S01R,3,1240,752,8,1,228,390,1262,1
122150_1..S03R,1,1243,742,11,1,343,660,1260,1
120950_2..S01R,2,1242,730,10,1,742,390,1263,1
123200_3..S01R,3,1242,752,8,1,58,390,1262,1
122150_1..S03R,1,1246,742,11,1,126,660,1266,3
120950_2..S01R,2,1246,730,10,1,585,390,1263,3
125600_3..S01R,3,1246,776,8,1,1244,390,1262,3
